City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
181,Kungurtug,RU,50.5994,97.5228,55.69,32,37,0.85,scattered clouds
182,Idrinskoye,RU,54.3708,92.1358,61.9,49,89,4.54,overcast clouds
183,Harper,LR,4.375,-7.7169,79.32,85,100,4.34,overcast clouds
184,Kamenka,RU,51.3223,42.7678,36.54,72,7,7.09,clear sky
185,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,75,40,12.66,scattered clouds
186,Portland,US,45.5234,-122.6762,56.88,81,75,8.05,broken clouds
187,Sancti Spiritus,CU,21.9297,-79.4425,73.4,81,92,7.4,overcast clouds
188,Edendale,ZA,-29.6528,30.3147,53.56,94,64,2.84,broken clouds
189,Sao Joao De Pirabas,BR,-0.7747,-47.1772,74.77,93,88,2.82,overcast clouds
190,Ostroh,UA,50.3294,26.5143,45.5,69,100,5.44,overcast clouds
191,Otukpo,NG,7.1913,8.1329,77.34,78,100,3.13,light rain
192,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.87,96,48,1.07,scattered clouds
193,Norman Wells,CA,65.282,-126.8329,48.24,43,20,17.27,few clouds
194,Padang,ID,-0.9492,100.3543,80.65,84,100,3.76,light rain
195,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,87,0,16.11,clear sky
196,Kanniyakumari,IN,8.0833,77.5667,83.95,79,100,18.12,overcast clouds
197,Poum,NC,-20.2333,164.0167,76.98,75,10,4.12,clear sky
198,Arlit,NE,18.7369,7.3853,85.64,9,85,10.94,overcast clouds
199,Oranjestad,AW,12.524,-70.027,82.35,83,20,25.32,few clouds
200,Esperance,AU,-33.8667,121.9,66.04,54,0,7.25,clear sky
201,Pendencias,BR,-5.26,-36.7222,76.24,80,73,8.21,broken clouds
202,Turbat,PK,26.0023,63.044,88.25,30,100,3.98,overcast clouds
203,Goderich,CA,43.7501,-81.7165,55.72,26,99,17.27,overcast clouds
204,Itajuba,BR,-22.4256,-45.4528,65.75,95,82,1.63,broken clouds
205,Ilulissat,GL,69.2167,-51.1,1.56,83,4,7.2,clear sky
206,Conde,BR,-7.2597,-34.9075,76.46,88,75,5.75,broken clouds
207,Shelburne,CA,44.0787,-80.2041,50.79,50,98,6.82,overcast clouds
208,Kloulklubed,PW,7.0419,134.2556,83.08,75,90,12.39,overcast clouds
209,Gat,IL,31.61,34.7642,65.39,100,82,12.3,broken clouds
210,Cidreira,BR,-30.1811,-50.2056,64.02,92,100,7.56,moderate rain
211,Bethel,US,41.3712,-73.414,54.54,42,0,4.61,clear sky
212,Taltal,CL,-25.4,-70.4833,60.96,81,8,4.45,clear sky
213,Kingsland,US,30.8,-81.6898,73.33,80,0,4.79,clear sky
214,Kismayo,SO,-0.3582,42.5454,81.9,77,100,11.43,overcast clouds
215,Abu Kamal,SY,34.4506,40.9171,71.94,45,0,11.14,clear sky
216,Zheleznodorozhnyy,RU,55.7503,38.0042,32.61,64,29,4.0,scattered clouds
217,Itarema,BR,-2.9248,-39.9167,76.59,88,80,6.35,broken clouds
218,Cienega,CO,5.4087,-73.2957,51.96,98,100,1.07,overcast clouds
219,Carballo,ES,43.213,-8.691,54.86,91,58,1.39,broken clouds
220,Vetlanda,SE,57.4289,15.0776,39.72,90,100,2.06,overcast clouds
221,Bombo,ID,-8.6131,119.0131,86.4,66,98,6.04,overcast clouds
222,Port-Gentil,GA,-0.7193,8.7815,80.47,81,45,5.12,moderate rain
223,Kassala,SD,15.451,36.4,84.56,25,0,9.17,clear sky
224,Ashcroft,CA,50.7165,-121.2859,57.47,60,98,1.41,overcast clouds
225,Chapleau,CA,47.8405,-83.4034,51.89,20,100,3.44,overcast clouds
226,Sucre,BO,-19.0333,-65.2627,54.9,76,8,3.91,clear sky
227,Atasu,KZ,48.6814,71.6433,66.58,34,100,5.46,overcast clouds
228,Dundalk,US,39.2507,-76.5205,58.01,50,0,0.0,clear sky
229,Cherskiy,RU,68.75,161.3,25.74,75,100,10.96,overcast clouds
230,Ipameri,BR,-17.7219,-48.1597,65.59,48,0,4.65,clear sky
231,Vestmannaeyjar,IS,63.4427,-20.2734,45.5,80,30,15.79,scattered clouds
232,Nianzishan,CN,47.5167,122.8833,47.98,38,74,18.01,broken clouds
233,Clyde River,CA,70.4692,-68.5914,12.43,92,100,5.75,light snow
234,Palmares Do Sul,BR,-30.2578,-50.5097,62.94,89,100,2.82,moderate rain
235,Kapoeta,SS,4.7717,33.5903,73.65,80,100,4.03,overcast clouds
236,Bereznik,RU,62.8551,42.7072,24.19,88,53,2.66,broken clouds
237,Puerto Leguizamo,CO,-0.1934,-74.7819,69.08,100,97,1.45,overcast clouds
238,Fortuna,US,40.5982,-124.1573,56.86,74,100,10.36,overcast clouds
239,Sur,OM,22.5667,59.5289,86.05,61,67,4.54,broken clouds
240,Lata,PT,40.1629,-8.3327,50.63,87,0,1.28,clear sky
241,Camopi,GF,3.1655,-52.3158,70.54,99,51,2.48,broken clouds
242,Larap,PH,14.299,122.6504,86.47,64,73,7.67,broken clouds
243,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.09,84,14,1.79,few clouds
244,Emporia,US,38.4039,-96.1817,62.8,42,0,10.36,clear sky
245,Saryozek,KZ,44.3583,77.9753,67.71,29,15,9.8,few clouds
246,Alexandria,EG,31.2156,29.9553,57.16,77,0,9.22,clear sky
247,Baruun-Urt,MN,46.6806,113.2792,53.37,50,43,8.32,scattered clouds
